use,gen,Dishwasher,Furnace,Home office,test,Fridge,high_consum
65.45113333,0.202400001,0.006316999,38.14058333,10.86778333,1,2.726566663,0
56.59071667,0.202716665,0.002400632,15.46876667,26.33191667,1,1.801916666,0
81.16993333,0.200566669,0.007033498,28.75101666,25.48828333,1,3.791033336,1
62.64946666,0.195100003,0.0016838,27.14445,9.486549998,1,3.475450002,1
64.83931667,0.194150005,0.009783229,46.0927,5.900733333,1,0.535266668,1
57.02175001,0.18056667,0.006000098,33.94931667,5.738483331,1,3.218583334,1
57.86236666,0.179916666,0.006483598,34.7125,5.68835,1,3.221516665,1
56.00846667,0.179866667,0.007232998,35.77443333,5.617783335,1,1.442649998,1
59.55543334,0.179833331,0.006749898,37.7015,5.361449999,1,2.066233329,1
86.95256667,0.178349997,0.005133234,61.0316,5.207233332,1,3.169866666,1
85.1694,0.178366666,0.006900336,41.66938333,5.218216665,1,3.600933336,1
71.77973334,0.134266663,0.007800232,29.448,5.141183336,1,1.80463333,1
43.58711667,1.819550002,0.002267001,11.29498333,5.12785,1,2.747816668,0
44.25293334,13.68748333,0.007550171,31.44261667,5.121366669,1,3.426866668,0
22.08573333,22.02215,0.004917201,20.95751667,5.127833333,1,2.258883331,0
21.7371,23.78948333,0.008300471,23.00995,5.199366668,1,1.220583336,0
18.95735,24.16073333,0.009750434,22.6732,3.227450001,1,3.162399997,0
8.481400002,21.65356666,0.003250867,11.47151666,2.624650002,1,3.174583336,0
9.912416668,17.44621667,0.003867567,12.28163333,2.700366669,1,1.130300004,0
16.43446667,9.282350001,0.0025344,10.17478333,2.769033335,1,2.674700002,0
42.97318333,0.289100002,0.009783727,25.09368333,2.658966666,1,3.229583333,0
32.73985,0.182583329,0.004433832,16.46058334,2.733650001,1,2.620483332,0
129.3924167,0.181649998,0.005666865,29.68885,2.723366666,1,1.288566669,1
121.5749833,0.167116664,0.002450233,36.23113333,2.714133335,1,3.998833336,1
124.31895,0.1847,23.1100171,42.43665,13.59651667,1,5.957933333,1
76.9532,0.182366667,24.98946666,12.088,27.81518333,1,1.712866672,0
73.2035,0.173016668,20.47299999,5.129233333,24.97305,1,5.195233334,1
39.65116667,0.176700001,0.01269997,10.8109,9.910933332,1,0.325499996,0
34.80928333,0.183549998,0.012183173,13.31113333,4.269233333,1,4.801400003,0
41.33661667,0.183899999,0.014383367,24.8092,3.020250001,1,1.2831,0
55.99518334,0.183383335,0.008916736,36.11196667,3.028183337,1,3.444833331,1
47.9169,0.182583331,0.014233304,29.37708334,3.279533337,1,2.437966664,1
48.53653334,0.182666666,0.012750001,30.08511667,3.021883335,1,2.011283333,1
78.66206667,0.180233331,0.014500104,55.37855001,3.005383327,1,3.834066666,1
56.17043334,0.181083329,0.013599967,38.18466667,3.011166665,1,0.606533336,0
61.28813333,0.258150033,0.009833031,22.23403333,2.927033337,1,4.713083331,0
43.44121667,2.052133332,0.002367334,13.43275,2.921916669,1,0.304083333,0
58.66311667,6.201050004,0.008267098,29.31729999,2.911566665,1,4.706283334,1
42.03416667,13.60883333,0.006567066,21.56948333,2.911666668,1,0.309466666,0
34.38098333,19.36418333,0.001183933,12.48741667,2.9043,1,4.156083338,0
38.36393333,22.5918,0.011733576,26.66993334,3.422816669,1,1.099233334,0
15.90606667,19.4547,0.003217033,10.75108333,2.918933333,1,3.781216665,0
31.8485,15.57341667,0.003950732,12.45833334,2.910883331,1,1.565349998,0
45.70866667,9.147100004,0.002117499,9.274700002,3.308150002,1,3.372050001,0
64.57363333,0.297333334,0.009533726,24.1398,5.552966669,1,1.903816667,0
62.58561667,0.185599999,0.001467034,16.3308,6.132949998,1,2.811250001,0
90.5213,0.181616668,0.007883363,35.48741666,5.886066667,1,3.01058333,1
70.9031,0.182866671,0.002117168,20.36436667,23.35408333,1,7.079516668,0
87.02881667,0.181183333,0.005366799,36.52986667,29.2651,1,6.68335,1
65.41401667,0.184783331,0.000751,8.07311667,24.56993334,1,14.6014,0
72.91313333,0.171616669,0.000850533,12.85514999,10.85088333,1,2.066299995,1
77.69498333,0.172766666,0.004483632,25.50543334,7.057566669,1,7.612200004,1
61.25135001,0.177683333,0.004383434,29.17611667,3.055733335,1,7.341783333,1
